Name,Tumor_n_modules,Normal_n_modules,Tumor_n_genes,Normal_n_genes,Tumor_total_gene_pairs,Normal_total_gene_pairs,Tumor_gene_pairs_same_module,Normal_gene_pairs_same_module,Tumor_total_LR_pairs,Normal_total_LR_pairs,Tumor_LR_pairs_same_module,Normal_LR_pairs_same_module,Tumor_LR_pairs_Z_score,Normal_LR_pairs_Z_score
uterine_carcinosarcoma,42,26,14242,13646,101410161,93099835,10638078,12124345,2323,2111,367,210,8.34950765727184,-4.197980441389201
kidney_papillary_cell_carcinoma,18,21,13760,14033,94661920,98455528,8861877,9967032,2144,2300,257,266,4.173164672989959,2.2924111661835798
kidney_chromophobe,23,21,13474,14033,90767601,98455528,6197506,9967032,2005,2300,240,266,9.12891984045565,2.2924111661835798
kidney_clear_cell_carcinoma,15,21,14169,14033,100373196,98455528,12864785,9967032,2495,2300,366,266,2.767950760240141,2.2924111661835798
brain_lower_grade_glioma,14,7,14400,13961,103672800,97447780,12282541,23168690,2616,2336,431,540,7.324783449250248,-0.7482482171661078
glioblastoma_multiforme,15,7,14269,13961,101795046,97447780,14996901,23168690,2540,2336,445,540,3.9633425358497436,-0.7482482171661078
adrenocortical_cancer,20,14,12945,13582,83780040,92228571,7118549,18674974,1474,2145,316,407,17.819325425479697,-1.4685583321588165
testicular_germ_cell_tumor,11,4,14532,16389,105582246,134291466,11340260,43764666,2612,3037,516,1205,14.879050705071911,8.333820518258594
liver_hepatocellular_carcinoma,15,13,12913,12875,83366328,82876375,10531690,17391187,1878,1941,386,362,10.332061965689157,-2.525610457871958
prostate_adenocarcinoma,10,21,14261,14251,101680930,101538375,17204458,9463117,2348,2587,560,335,8.956451848742146,6.350395060252655
lung_squamous_cell_carcinoma,23,17,14215,14200,101026005,100812900,10573789,17677010,2553,2894,563,558,19.123630225934615,2.4712103080361807
lung_adenocarcinoma,16,17,14098,14200,99369753,100812900,9226607,17677010,2627,2894,499,558,17.147971874523346,2.4712103080361807
breast_invasive_carcinoma,15,12,14135,13796,99892045,95157910,10084019,25743129,2557,2452,432,621,11.413614962768008,-1.9248199512703354
ovarian_serous_cystadenocarcinoma,24,19,14319,13444,102509721,90363846,14089178,9917704,2491,1944,622,386,16.272122762255137,12.526513211975026
skin_cutaneous_melanoma,11,27,13326,14069,88784475,98961346,24981129,7708259,1941,2328,457,393,-4.499333482925246,16.369222057027784
pancreatic_adenocarcinoma,13,19,14639,13445,107142841,90377290,14063773,8825228,2776,1995,529,419,9.252329142274023,16.909281798174714
colon_adenocarcinoma,10,7,13658,13680,93263653,93564360,17845070,31382184,2294,2323,788,666,18.52784554865488,-4.972464641537425
esophageal_carcinoma,25,4,14192,13310,100699336,88571395,17671157,37597739,2479,2050,590,844,8.182816337125965,-1.1710207245330662
stomach_adenocarcinoma,9,5,14202,13623,100841301,92786253,18888759,36969519,2606,2255,621,973,6.670846158416206,3.2055285811521306
