Name,Tumor_n_modules,Normal_n_modules,Tumor_n_genes,Normal_n_genes,Tumor_total_gene_pairs,Normal_total_gene_pairs,Tumor_gene_pairs_same_module,Normal_gene_pairs_same_module,Tumor_total_LR_pairs,Normal_total_LR_pairs,Tumor_LR_pairs_same_module,Normal_LR_pairs_same_module,Tumor_LR_pairs_Z_score,Normal_LR_pairs_Z_score
uterine_carcinosarcoma,42,26,14242,13646,101410161,93099835,10638078,12124345,1952,1722,307,169,7.5513020549890495,-3.956394189210751
kidney_papillary_cell_carcinoma,18,21,13760,14033,94661920,98455528,8861877,9967032,1684,1821,230,226,6.052564296479972,3.2359870488181297
kidney_chromophobe,23,21,13474,14033,90767601,98455528,6197506,9967032,1609,1821,214,226,10.293209996437062,3.2359870488181297
kidney_clear_cell_carcinoma,15,21,14169,14033,100373196,98455528,12864785,9967032,1977,1821,316,226,4.212345191128205,3.2359870488181297
brain_lower_grade_glioma,14,7,14400,13961,103672800,97447780,12282541,23168690,1960,1752,368,428,9.491022429247803,0.6427675755598249
glioblastoma_multiforme,15,7,14269,13961,101795046,97447780,14996901,23168690,1925,1752,386,428,6.585017613036088,0.6427675755598249
adrenocortical_cancer,20,14,12945,13582,83780040,92228571,7118549,18674974,1275,1648,287,341,17.94507367626473,0.4476949578471868
testicular_germ_cell_tumor,11,4,14532,16389,105582246,134291466,11340260,43764666,2127,2380,468,973,16.77496234136361,8.631778036352747
liver_hepatocellular_carcinoma,15,13,12913,12875,83366328,82876375,10531690,17391187,1502,1580,347,248,12.21331961788108,-5.162242822201721
prostate_adenocarcinoma,10,21,14261,14251,101680930,101538375,17203595,9463117,1937,2030,486,268,9.591970494470903,6.016867825542218
lung_squamous_cell_carcinoma,23,17,14215,14200,101026005,100812900,10573789,17677010,2087,2246,500,455,20.133880939493487,3.394625541265867
lung_adenocarcinoma,16,17,14098,14200,99369753,100812900,9226607,17677010,2089,2246,450,455,19.301665193903684,3.394625541265867
breast_invasive_carcinoma,15,12,14135,13796,99892045,95157910,10084019,25743129,1987,1844,360,487,11.870910384332376,-0.6216366866707046
ovarian_serous_cystadenocarcinoma,24,19,14319,13444,102509721,90363846,14089178,9917704,1995,1603,557,340,18.388970486231536,13.109561326197777
skin_cutaneous_melanoma,11,27,13326,14069,88784475,98961346,24981129,7708259,1674,1854,398,348,-3.9684069113980174,17.64261645764242
pancreatic_adenocarcinoma,13,19,14639,13445,107142841,90377290,14063773,8825228,2213,1601,476,392,11.67831521025213,19.841620832955734
colon_adenocarcinoma,10,7,13658,13680,93263653,93564360,17845070,31382184,1791,1824,726,506,23.025892736325336,-5.246143875242611
esophageal_carcinoma,25,4,14192,13310,100699336,88571395,17671157,37597739,1977,1691,516,741,9.99627111170775,1.1407645461498577
stomach_adenocarcinoma,9,5,14202,13623,100841301,92786253,18888759,36969519,2065,1786,538,806,8.528073186891808,4.562133467874147
