interaction,total,uterine_carcinosarcoma,kidney_papillary_cell_carcinoma,kidney_chromophobe,kidney_clear_cell_carcinoma,brain_lower_grade_glioma,glioblastoma_multiforme,testicular_germ_cell_tumor,liver_hepatocellular_carcinoma,prostate_adenocarcinoma,lung_squamous_cell_carcinoma,lung_adenocarcinoma,breast_invasive_carcinoma,ovarian_serous_cystadenocarcinoma,skin_cutaneous_melanoma,pancreatic_adenocarcinoma,colon_adenocarcinoma,esophageal_carcinoma,stomach_adenocarcinoma
ITGB2-CD226,12,True,True,True,False,False,False,True,True,True,True,True,True,True,False,False,True,False,True
CSF1-CSF1R,12,True,True,True,False,False,False,False,True,True,True,True,True,True,False,True,True,True,False
SEMA4D-CD72,10,False,False,False,True,False,False,False,False,True,True,True,True,True,True,True,True,True,False
HLA-DQB1-CD4,10,True,True,True,False,False,True,True,True,False,True,True,False,False,True,False,False,False,True
IL15-IL15RA+IL2RB,9,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,True,False,False
C4A-C3AR1,9,True,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,False,True
HLA-DQA1-CD4,8,True,False,False,False,False,False,True,True,False,True,True,False,False,True,False,False,True,True
HLA-A-CD8A,8,True,False,False,False,True,False,False,True,True,True,True,True,False,True,False,False,False,False
HLA-E-CD8A,8,False,False,False,False,False,False,False,True,True,True,True,True,False,True,False,True,False,True
ADA2-ADORA2A,8,False,True,False,True,False,False,False,True,True,True,False,False,True,False,False,True,True,False
IL16-CD4,8,True,False,False,False,True,True,False,True,True,True,False,False,False,False,False,True,False,True
COL1A1-ITGA11+ITGB1,8,False,False,True,True,False,True,False,False,False,True,False,False,True,False,True,True,True,False
HLA-DRB5-CD4,8,True,False,False,False,True,True,True,True,False,True,True,True,False,False,False,False,False,False
IL15-IL15RA_IL2RB_IL2RG,8,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False
NCAM1-FGFR1,8,False,True,True,True,False,False,False,False,True,False,True,True,False,False,False,True,True,False
ICAM2-ITGAM_ITGB2,7,True,False,True,False,False,False,False,False,False,True,True,False,False,False,True,True,True,False
COL5A1-ITGA11+ITGB1,7,False,False,True,True,False,True,False,False,False,True,False,False,True,False,True,True,False,False
ICAM1-ITGAX+ITGB2,7,True,True,False,False,False,False,False,True,True,True,False,False,False,False,True,False,True,False
COL6A2-ITGA11+ITGB1,7,False,False,True,True,False,True,False,False,False,True,False,False,True,False,True,True,False,False
ICAM2-CD209,7,True,False,True,False,False,False,False,False,False,True,True,False,False,True,True,False,True,False
COL3A1-ITGA11+ITGB1,7,False,False,True,True,False,True,False,False,False,False,False,False,True,False,True,True,True,False
COL6A3-ITGA11+ITGB1,7,False,False,True,True,False,True,False,False,False,True,False,False,False,False,True,True,True,False
COL5A3-ITGA11+ITGB1,7,False,False,True,True,False,False,False,False,False,True,False,False,True,False,True,True,True,False
ICAM1-ITGAM+ITGB2,7,True,True,False,False,False,False,False,True,True,True,False,False,False,False,True,False,True,False
CCL5-CCR1,7,True,True,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,True
ITGB2-ICAM1,7,True,True,False,False,False,False,False,True,True,True,False,False,False,False,True,False,True,False
DLL4-NOTCH4,7,False,True,False,True,True,False,False,True,True,False,True,True,False,False,False,False,False,False
ITGB2-ICAM2,7,True,False,True,False,False,False,False,False,False,True,True,True,False,False,True,False,True,False
PTPRC-MRC1,7,True,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True
PTPRC-CD22,7,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,True,True,True
FBN1-ITGA5+ITGB1,7,False,False,True,True,False,False,False,False,False,True,True,False,False,False,True,True,True,False
C3-ITGAX_ITGB2,7,True,False,True,False,False,False,False,False,True,True,True,False,True,False,True,False,False,False
HLA-E-VSIR,7,False,False,False,False,True,True,False,True,True,True,True,True,False,False,False,False,False,False
IL34-CSF1R,7,False,True,False,False,False,False,False,False,True,True,True,False,True,False,False,True,False,True
COL12A1-ITGA11+ITGB1,7,False,False,True,True,False,True,False,False,False,True,False,False,True,False,True,True,False,False
COL1A2-ITGA11+ITGB1,7,False,False,True,True,False,True,False,False,False,False,False,False,True,False,True,True,True,False
COL16A1-ITGA11+ITGB1,7,False,False,True,True,False,False,False,False,False,True,False,False,True,False,True,True,True,False
COL13A1-ITGA11+ITGB1,7,False,False,True,True,False,True,False,False,False,True,False,False,False,False,True,True,True,False
HLA-C-CD8A,7,False,False,False,False,True,False,False,False,True,True,True,True,False,True,False,False,True,False
SELPLG-SELL,7,True,False,False,False,False,False,True,True,True,True,False,True,False,False,False,False,True,False
ICAM1-ITGAL,6,True,False,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False
HLA-F-VSIR,6,True,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,True,False
